epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2355,1.30514,9.5269,0.97504,0.92025,0.75,0.91977,0.73942,0.80723,4.33349,0.91737,8e-05,8e-05,8e-05
2,58.3807,0.96576,4.91874,0.88405,0.90842,0.99225,0.92017,0.71287,0.8859,3.06627,0.89293,0.000178218,0.000178218,0.000178218
3,86.5694,0.94946,3.32904,0.87946,0.71622,0.65,0.8346,0.65537,0.88416,3.44866,0.89128,0.000274456,0.000274456,0.000274456
4,114.675,0.98243,2.54937,0.89756,0.23753,0.60761,0.26472,0.20521,0.86655,4.79087,0.91033,0.000368714,0.000368714,0.000368714
5,142.885,0.94529,1.66279,0.90189,0.1303,0.4,0.11262,0.08457,0.98319,6.31106,0.94995,0.000460992,0.000460992,0.000460992
6,170.93,0.90511,1.3841,0.87824,0.03317,0.8,0.03384,0.0245,1.04669,13.7843,0.95887,0.00055129,0.00055129,0.00055129
7,199.212,0.91821,1.12097,0.883,0.03499,0.8,0.03455,0.02329,0.99333,10.1745,0.91022,0.000639608,0.000639608,0.000639608
8,227.135,0.8922,1.0331,0.89626,0.63554,0.35,0.42456,0.32571,0.98925,3.31636,0.95034,0.000725946,0.000725946,0.000725946
9,255.321,0.88423,0.9379,0.88062,0.46737,0.35,0.32889,0.23457,1.06583,2.81834,0.98434,0.000810304,0.000810304,0.000810304
10,282.771,1.02288,0.90276,0.93448,0.44937,0.55,0.36802,0.25881,1.01424,2.55855,1.01412,0.000892682,0.000892682,0.000892682
11,309.241,0.95425,0.79362,0.93373,0.43527,0.73255,0.49181,0.39147,0.91731,1.76598,0.95753,0.00097308,0.00097308,0.00097308
12,341.082,0.94068,0.8055,0.92088,0.12003,0.7,0.12271,0.0941,0.96132,2.4791,0.95477,0.0010515,0.0010515,0.0010515
13,369.761,0.97229,0.71435,0.89817,0.10667,0.5,0.13221,0.09722,1.00006,2.64842,0.95278,0.00112794,0.00112794,0.00112794
14,396.333,0.87366,0.70467,0.87488,0.72325,0.25,0.56856,0.41172,1.0904,2.58578,1.01341,0.00120239,0.00120239,0.00120239
15,423.076,0.93349,0.66072,0.86399,1,0.25066,0.91681,0.68108,0.98966,2.25736,0.96481,0.00127487,0.00127487,0.00127487
16,449.948,0.94413,0.64385,0.88456,0.93627,0.73524,0.9569,0.73073,0.94413,1.70761,0.93375,0.00134537,0.00134537,0.00134537
17,476.64,0.94493,0.74162,0.90034,0.72982,0.3,0.45278,0.34451,1.10541,2.48494,0.99956,0.00141389,0.00141389,0.00141389
18,503.392,0.97882,0.8398,0.91585,0.01737,0.75,0.01842,0.01184,1.29733,4.68771,1.04576,0.00148043,0.00148043,0.00148043
19,530.192,0.9325,0.70044,0.89811,0.21072,0.3,0.22195,0.15109,1.26217,3.55954,1.1156,0.00154498,0.00154498,0.00154498
20,556.692,0.92342,0.74377,0.91354,0.87583,0.70562,0.88427,0.56116,1.35591,1.85979,1.09766,0.00160756,0.00160756,0.00160756
21,583.146,1.02332,0.67448,0.91576,0.95294,0.15,0.15683,0.10047,2.28005,3.08154,2.31562,0.001604,0.001604,0.001604
22,609.937,0.92365,0.60055,0.91152,0,0,0,0,4.46366,20.7341,16.6974,0.0015842,0.0015842,0.0015842
23,636.538,0.94732,0.59722,0.89275,0,0,0,0,4.48075,209.107,33.2839,0.0015644,0.0015644,0.0015644
24,663.167,0.92223,0.56731,0.88552,0.2196,0.15,0.05226,0.04115,2.29418,5.63193,3.28793,0.0015446,0.0015446,0.0015446
25,689.877,0.95592,0.56329,0.88801,0.93223,0.68843,0.74939,0.51914,1.2056,1.64192,1.07424,0.0015248,0.0015248,0.0015248
26,716.423,0.90084,0.54117,0.85244,0.93309,0.8,0.87011,0.61936,1.02251,0.83196,1.01141,0.001505,0.001505,0.001505
27,742.823,0.96672,0.55938,0.8918,0.94328,0.95,0.94795,0.63013,1.30897,0.66803,1.07951,0.0014852,0.0014852,0.0014852
28,769.225,0.91212,0.54721,0.87028,0.94342,0.95,0.94417,0.69475,0.95699,0.60382,0.97493,0.0014654,0.0014654,0.0014654
29,795.877,0.91346,0.56885,0.88447,0.94395,0.95,0.94848,0.67821,1.02074,0.64382,0.98246,0.0014456,0.0014456,0.0014456
30,822.545,0.93289,0.54875,0.86818,0.94395,0.95,0.94848,0.6775,1.07705,0.6349,0.9902,0.0014258,0.0014258,0.0014258
31,848.929,0.88117,0.49822,0.86497,0.90901,0.99901,0.95295,0.68546,1.02103,0.65028,0.96922,0.001406,0.001406,0.001406
32,876.04,0.83599,0.49159,0.8434,0.94379,0.95,0.95096,0.70247,1.06593,0.78498,0.97042,0.0013862,0.0013862,0.0013862
33,903.522,0.85034,0.48739,0.83775,0.94239,0.95,0.96098,0.72093,1.0324,0.81287,0.97595,0.0013664,0.0013664,0.0013664
34,931.523,0.81551,0.47417,0.84985,0.95195,0.991,0.96643,0.72815,0.98357,0.83307,0.97711,0.0013466,0.0013466,0.0013466
35,958.238,0.82894,0.50222,0.88005,0.94205,1,0.96643,0.72058,0.97388,0.86179,0.95644,0.0013268,0.0013268,0.0013268
36,985.007,0.84769,0.51909,0.85024,0.36521,0.95,0.36901,0.25992,0.99423,1.74323,0.93902,0.001307,0.001307,0.001307
37,1011.63,0.84883,0.57348,0.86625,0.22432,0.95,0.21472,0.15243,1.05914,5.88565,0.96508,0.0012872,0.0012872,0.0012872
38,1038.3,0.79063,0.47891,0.84625,0.42697,0.95,0.46774,0.34316,1.00343,1.33626,0.94807,0.0012674,0.0012674,0.0012674
39,1064.94,0.79127,0.44756,0.85176,0.51275,0.99974,0.52439,0.39254,0.89135,1.16864,0.91133,0.0012476,0.0012476,0.0012476
40,1091.85,0.76927,0.46601,0.84979,0.94154,0.95,0.96045,0.68918,1.06645,0.63624,0.95734,0.0012278,0.0012278,0.0012278
41,1118.4,0.72316,0.47131,0.84202,0.95224,0.99707,0.98548,0.71003,1.04591,0.59973,0.96544,0.001208,0.001208,0.001208
42,1145.1,0.73338,0.44062,0.86005,0.95237,0.99972,0.9831,0.73908,0.93327,0.52324,0.9499,0.0011882,0.0011882,0.0011882
43,1171.92,0.72883,0.44387,0.84303,0.95221,0.9965,0.9831,0.78973,0.85175,0.48692,0.92301,0.0011684,0.0011684,0.0011684
44,1198.89,0.76576,0.43512,0.84005,0.95224,0.99696,0.97119,0.73797,0.95566,0.54088,0.93685,0.0011486,0.0011486,0.0011486
45,1225.46,0.67114,0.41118,0.83548,0.90904,0.99942,0.95545,0.7151,1.01704,0.55556,0.97474,0.0011288,0.0011288,0.0011288
46,1251.92,0.72239,0.43165,0.85491,0.90873,0.99584,0.96295,0.73023,0.96399,0.51855,0.96548,0.001109,0.001109,0.001109
47,1278.56,0.74585,0.44588,0.83994,0.90867,0.99516,0.98045,0.74945,0.89747,0.50575,0.94228,0.0010892,0.0010892,0.0010892
48,1305.44,0.74506,0.43472,0.85969,0.90814,0.98906,0.98295,0.72672,0.99475,0.49665,0.99255,0.0010694,0.0010694,0.0010694
49,1332.87,0.62458,0.38948,0.85869,0.9085,0.99316,0.98295,0.72128,1.00332,0.49714,1.00309,0.0010496,0.0010496,0.0010496
50,1360.68,0.65945,0.40737,0.81784,0.90624,1,0.98545,0.74249,0.94437,0.45904,0.9729,0.0010298,0.0010298,0.0010298
51,1388.7,0.64915,0.39034,0.82377,0.94566,0.95,0.98545,0.7714,0.89658,0.43891,0.94721,0.00101,0.00101,0.00101
52,1416.65,0.68938,0.39131,0.84079,0.9522,0.99627,0.95929,0.74067,0.93548,0.46299,0.95194,0.0009902,0.0009902,0.0009902
53,1444.54,0.71962,0.40201,0.86006,0.94649,0.95,0.94545,0.74611,0.89273,0.4697,0.92457,0.0009704,0.0009704,0.0009704
54,1472.5,0.66164,0.38713,0.80321,0.94634,0.95,0.94545,0.74128,0.9032,0.49738,0.92287,0.0009506,0.0009506,0.0009506
55,1500.25,0.65645,0.40353,0.83663,0.90871,0.9956,0.94795,0.73753,0.94946,0.50545,0.93632,0.0009308,0.0009308,0.0009308
56,1528.14,0.65167,0.38576,0.81361,0.9089,0.99778,0.94795,0.6985,0.93397,0.51682,0.92645,0.000911,0.000911,0.000911
57,1556.01,0.65275,0.39147,0.82753,0.90863,0.99468,0.94795,0.70459,0.93179,0.53042,0.92897,0.0008912,0.0008912,0.0008912
58,1583.68,0.59484,0.3563,0.83491,0.94635,0.95,0.94348,0.72682,0.92781,0.51508,0.93909,0.0008714,0.0008714,0.0008714
59,1611.53,0.65572,0.39813,0.81372,0.94692,0.95,0.94598,0.75233,0.88542,0.49563,0.92798,0.0008516,0.0008516,0.0008516
60,1639.44,0.63564,0.36674,0.80437,0.94735,0.95,0.95545,0.72097,0.88925,0.49286,0.91921,0.0008318,0.0008318,0.0008318
61,1667.22,0.66368,0.36838,0.83831,0.94771,0.95,0.96545,0.74383,0.87552,0.47424,0.90576,0.000812,0.000812,0.000812
62,1695.47,0.6283,0.38823,0.81008,0.90864,0.99475,0.96545,0.74778,0.85285,0.46927,0.90193,0.0007922,0.0007922,0.0007922
63,1723.35,0.66898,0.39959,0.82011,0.9086,0.99435,0.96545,0.75613,0.88903,0.49507,0.90963,0.0007724,0.0007724,0.0007724
