epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9573,1.05893,5.01336,0.95065,0.90172,0.91806,0.90741,0.71245,0.86442,1.6982,0.87909,8e-05,8e-05,8e-05
2,149.668,0.92867,1.60912,0.9315,0.86587,1,0.94153,0.71304,0.98049,1.03794,0.90398,0.00016218,0.00016218,0.00016218
3,225.814,0.9972,1.20572,0.89265,0.74932,0.9,0.79958,0.58135,1.07276,1.38144,0.93598,0.00022456,0.00022456,0.00022456
4,322.77,0.91979,1.06413,0.95978,0.34351,0.6,0.47027,0.34991,1.16853,2.66056,1.00025,0.00026714,0.00026714,0.00026714
5,419.725,0.9509,1.00938,0.9151,0.95234,0.99906,0.96643,0.72267,0.96478,1.50445,0.94198,0.00028992,0.00028992,0.00028992
6,517.163,0.89006,0.91827,0.91704,0.58566,0.9,0.77607,0.59046,0.98069,1.82904,0.96802,0.0002929,0.0002929,0.0002929
7,614.676,0.8619,0.76278,0.88534,0.81321,1,0.93238,0.70156,0.98056,0.89121,0.94228,0.00027608,0.00027608,0.00027608
8,712.996,0.86242,0.7085,0.893,0.90583,1,0.95295,0.68963,0.95916,0.66081,0.9373,0.00023946,0.00023946,0.00023946
9,810.848,0.76517,0.5635,0.86345,0.9457,1,0.9569,0.67936,1.03858,0.67094,0.99042,0.00018304,0.00018304,0.00018304
10,907.641,0.80524,0.54519,0.90281,0.94493,1,0.96167,0.72553,0.97703,0.60557,0.95295,0.00010682,0.00010682,0.00010682
