epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9405,1.14541,5.15311,0.95558,0.00286,0.9,0.00548,0.00303,0.94817,4.14237,0.87588,8e-05,8e-05,8e-05
2,22.9873,1.00709,4.41888,0.90532,0.00317,1,0.01232,0.00721,0.93159,4.11825,0.84299,0.00016218,0.00016218,0.00016218
3,34.1219,1.11389,3.32018,0.90321,0.00317,1,0.02183,0.0121,0.95829,4.17023,0.8439,0.00022456,0.00022456,0.00022456
4,45.1299,1.01317,2.64519,0.94607,0.00317,1,0.05529,0.01527,0.97587,4.15962,0.85343,0.00026714,0.00026714,0.00026714
5,56.0176,1.01111,2.44103,0.9109,0.00317,1,0.00999,0.00655,0.92135,4.09907,0.84996,0.00028992,0.00028992,0.00028992
6,66.9669,0.99901,2.39483,0.93125,0.00317,1,0.00934,0.00647,0.96238,4.04034,0.854,0.0002929,0.0002929,0.0002929
7,78.0797,0.87854,2.25584,0.89098,0.00317,1,0.00888,0.0059,0.91451,4.00938,0.86368,0.00027608,0.00027608,0.00027608
8,89.0847,0.88409,2.11199,0.8887,0.00317,1,0.00892,0.00601,0.89451,3.96234,0.85914,0.00023946,0.00023946,0.00023946
9,100.122,0.88043,1.9849,0.88876,0.00317,1,0.00906,0.00622,0.92236,3.88601,0.86412,0.00018304,0.00018304,0.00018304
10,111.083,0.86918,1.94417,0.90471,0.00317,1,0.00919,0.0064,0.9394,3.83238,0.86842,0.00010682,0.00010682,0.00010682
