epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7856,1.11536,13.1633,0.95914,0.92256,0.596,0.76454,0.60768,0.85878,5.09384,0.92647,8e-05,8e-05,8e-05
2,53.2893,0.98058,7.13686,0.99746,0.94659,0.88661,0.9418,0.74458,0.82939,4.08215,0.92864,0.00016218,0.00016218,0.00016218
3,80.3262,0.96053,4.48376,0.89603,0.94723,0.89764,0.93499,0.70411,0.9966,4.66414,0.92805,0.00022456,0.00022456,0.00022456
4,107.113,0.9587,3.40505,0.95142,0.81113,0.8,0.85404,0.63339,0.95068,4.37893,0.94621,0.00026714,0.00026714,0.00026714
5,133.825,0.95616,2.55077,0.90572,0.49538,0.45,0.39152,0.29985,0.84885,4.83448,0.92602,0.00028992,0.00028992,0.00028992
6,160.57,0.85277,1.91127,0.89722,0.13838,0.6,0.14486,0.113,0.81355,6.49725,0.9112,0.0002929,0.0002929,0.0002929
7,187.742,0.88416,1.62871,0.89219,0.07275,0.85,0.07327,0.05585,0.81289,11.4191,0.9148,0.00027608,0.00027608,0.00027608
8,214.595,0.81521,1.44093,0.87646,0.0698,0.55,0.06839,0.05203,0.89747,8.96263,0.93429,0.00023946,0.00023946,0.00023946
9,241.343,0.83491,1.28239,0.87155,0.91195,0.45,0.64599,0.51199,0.88738,3.49413,0.9276,0.00018304,0.00018304,0.00018304
10,268.325,0.78117,1.17154,0.8757,0.72144,0.7,0.75372,0.59312,0.86326,2.44177,0.92625,0.00010682,0.00010682,0.00010682
